SYMBOL,NAME OF COMPANY,SECTOR
AERONEU,Aeroflex Neu Limited,Packaging / Consumer Goods
AETHER,Aether Industries Limited,Specialty Chemicals
AFCONS,Afcons Infrastructure Limited,Construction & Engineering
AFFLE,Affle 3i Limited,Technology (Digital Advertising)
AFFORDABLE,Affordable Robotic & Automation Limited,Industrial Automation
AFIL,Akme Fintrade (India) Limited,Financial Services (NBFC)
AFSL,Abans Financial Services Limited,Financial Services
AGARIND,Agarwal Industrial Corporation Limited,Petrochemicals & Logistics (Bitumen)
AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare Services (Eyecare)
AGI,AGI Greenpac Limited,Packaging (Glass & Plastic)
AGIIL,Agi Infra Limited,Real Estate & Construction
AGRITECH,Agri-Tech (India) Limited,Agriculture (Horticulture)
AGROPHOS,Agro Phos India Limited,Chemicals (Fertilizers)
AGSTRA,AGS Transact Technologies Limited,IT Services (Payment Solutions & Banking Automation)
AHCL,Anlon Healthcare Limited,Pharmaceuticals
AHLADA,Ahlada Engineers Limited,Steel Products & Engineering
AHLEAST,Asian Hotels (East) Limited,Hospitality (Hotels)
AHLUCONT,Ahluwalia Contracts (India) Limited,Construction & Infrastructure
AIAENG,AIA Engineering Limited,Industrial Manufacturing (Engineering)
AIIL,Authum Investment & Infrastructure Limited,Finance (Investment/NBFC)
AIRAN,Airan Limited,IT Enabled Services (Banking Technology)
AIROLAM,Airo Lam limited,Building Materials (Laminates)
AJANTPHARM,Ajanta Pharma Limited,Pharmaceuticals
AJAXENGG,Ajax Engineering Limited,Industrial Equipment (Concrete Machinery)
AJMERA,Ajmera Realty & Infra India Limited,Real Estate / Construction
AJOONI,Ajooni Biotech Limited,Animal Feed / Agriculture
AKASH,Akash Infra-Projects Limited,Construction (Civil)
AKG,Akg Exim Limited,Trading / Commodities
AKI,AKI India Limited,Leather Products / Gems & Jewelry
AKSHAR,Akshar Spintex Limited,Textiles (Cotton Yarn)
AKSHARCHEM,AksharChem India Limited,Chemicals (Dyes & Pigments)
AKSHOPTFBR,Aksh Optifibre Limited,Telecommunications (Optical Fiber)
AKUMS,Akums Drugs and Pharmaceuticals Limited,Pharmaceuticals
AKZOINDIA,Akzo Nobel India Limited,Chemicals (Paints & Coatings)
ALANKIT,Alankit Limited,Financial Services / E-Governance
ALBERTDAVD,Albert David Limited,Pharmaceuticals
ALEMBICLTD,Alembic Limited,Pharmaceuticals
ALGOQUANT,Algoquant Fintech Limited,Finance / Fintech
ALICON,Alicon Castalloy Limited,Auto Ancillaries (Aluminum Castings)
ALIVUS,Alivus Life Sciences Limited,Pharmaceuticals / Healthcare
ALKALI,Alkali Metals Limited,Chemicals
ALKEM,Alkem Laboratories Limited,Pharmaceuticals
ALKYLAMINE,Alkyl Amines Chemicals Limited,Chemicals
ALLCARGO,Allcargo Logistics Limited,Logistics
ALLDIGI,Alldigi Tech Limited,BPO / IT Enabled Services
ALLTIME,All Time Plastics Limited,Consumer Goods (Plasticware)
ALMONDZ,Almondz Global Securities Limited,Financial Services (Stock Broking)
ALOKINDS,Alok Industries Limited,Textiles
ALPA,Alpa Laboratories Limited,Pharmaceuticals & Drugs
ALPHAGEO,Alphageo (India) Limited,Engineering / Oil & Gas Services
AMAGI,Amagi Media Labs Limited,IT Services (SaaS / Media Tech)
AMANTA,Amanta Healthcare Limited,Pharmaceuticals & Drugs
AMBER,Amber Enterprises India Limited,Consumer Electronics (HVAC)
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Household & Personal Products
AMBIKCO,Ambika Cotton Mills Limited,Textiles
AMBUJACEM,Ambuja Cements Limited,Cement
AMDIND,AMD Industries Limited,Packaging
AMJLAND,Amj Land Holdings Limited,Real Estate / Construction
AMNPLST,Amines & Plasticizers Limited,Specialty Chemicals
AMRUTANJAN,Amrutanjan Health Care Limited,Pharmaceuticals & Consumer Healthcare
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services (Wealth Management)
ANANTRAJ,Anant Raj Limited,Real Estate / Construction
ANDHRAPAP,ANDHRA PAPER LIMITED,Paper & Paper Products
ANDHRSUGAR,The Andhra Sugars Limited,Sugar & Chemicals
ANGELONE,Angel One Limited,Financial Services (Stockbroking)
ANIKINDS,Anik Industries Limited,Dairy / Real Estate / Power
ANKITMETAL,Ankit Metal & Power Limited,Iron & Steel
ANMOL,Anmol India Limited,Energy (Coal Trading)
ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate
ANTELOPUS,Antelopus Selan Energy Limited,Oil Exploration & Production
ANTGRAPHIC,Antarctica Limited,Packaging / Printing
ANTHEM,Anthem Biosciences Limited,Pharmaceuticals & Biotechnology
ANUHPHR,Anuh Pharma Limited,Pharmaceuticals (APIs)
ANUP,The Anup Engineering Limited,Engineering (Heavy Equipment)
ANURAS,Anupam Rasayan India Limited,Specialty Chemicals
APARINDS,Apar Industries Limited,Electrical Equipment (Conductors/Cables)
APCL,Anjani Portland Cement Limited,Cement
APCOTEXIND,Apcotex Industries Limited,Specialty Chemicals (Polymers/Rubber)
APEX,Apex Frozen Foods Limited,Food Processing (Seafood)
APLAPOLLO,APL Apollo Tubes Limited,Iron & Steel Products
APLLTD,Alembic Pharmaceuticals Limited,Pharmaceuticals
APOLLO,Apollo Micro Systems Limited,Aerospace & Defence Electronics
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare / Hospitals
APOLLOPIPE,Apollo Pipes Limited,Plastic Products (Piping)
APOLLOTYRE,Apollo Tyres Limited,Auto Tyres & Rubber Products
APOLSINHOT,Apollo Sindoori Hotels Limited,Hospitality / Hotels & Restaurants
APTECHT,Aptech Limited,Education & Training
APTUS,Aptus Value Housing Finance India Limited,Financial Services (Housing Finance)
AQYLON,Aqylon Nexus Limited,"Technology (Space, AI & Semiconductors)"
ARCHIDPLY,Archidply Industries Limited,Consumer Durables (Plywood & Laminates)
ARCHIES,Archies Limited,Consumer Discretionary (Retail - Gifts)
ARE&M,Amara Raja Energy & Mobility Limited,Auto Components (Batteries)
ARENTERP,Rajdarshan Industries Limited,Mining & Minerals
ARFIN,Arfin India Limited,Metals & Mining (Aluminum Recycling)
ARIES,Aries Agro Limited,Chemicals (Fertilizers & Agrochemicals)
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services (Stock Broking)
ARIHANTSUP,Arihant Superstructures Limited,Real Estate (Residential & Commercial)
ARIS,Arisinfra Solutions Limited,B2B Technology (Construction Materials)
ARKADE,Arkade Developers Limited,Real Estate (Premium Residential)
ARMANFIN,Arman Financial Services Limited,Financial Services (NBFC)
AROGRANITE,Aro Granite Industries Limited,Construction Materials (Granite & Tiles)
ARROWGREEN,Arrow Greentech Limited,Plastic Products / Packaging
ARSHIYA,Arshiya Limited,Logistics & Infrastructure
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Financial Services (Wealth Management)
ARTEMISMED,Artemis Medicare Services Limited,Healthcare (Hospitals)
ARTNIRMAN,Art Nirman Limited,Real Estate
ARVEE,Arvee Laboratories (India) Limited,Chemicals (Specialty Chemicals)
ARVIND,Arvind Limited,Textiles & Apparel
ARVINDFASN,Arvind Fashions Limited,Textiles & Apparel (Retail)
ARVSMART,Arvind SmartSpaces Limited,Real Estate
ASAHIINDIA,Asahi India Glass Limited,Auto Components (Glass)
ASAHISONG,Asahi Songwon Colors Limited,Chemicals (Pigments)
ASAL,Automotive Stampings and Assemblies Limited,Auto Components
ASALCBR,Associated Alcohols & Breweries Ltd.,Beverages (Alcoholic)
ASHAPURMIN,Ashapura Minechem Limited,Mining & Minerals
ASHIANA,Ashiana Housing Limited,Real Estate
ASHIMASYN,Ashima Limited,Textiles
ASHOKA,Ashoka Buildcon Limited,Infrastructure / Construction
ASHOKAMET,Ashoka Metcast Limited,Metals & Mining
ASHOKLEY,Ashok Leyland Limited,Automobiles (Commercial Vehicles)
ASIANENE,Asian Energy Services Limited,Oil & Gas (Services)
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Discretionary (Hotels)
ASIANPAINT,Asian Paints Limited,Consumer Durables (Paints)
ASIANTILES,Asian Granito India Limited,Construction Materials (Ceramic/Tiles)
ASKAUTOLTD,ASK Automotive Limited,Auto Components (Braking Systems)
ASMS,Bartronics India Limited,Technology (IT Services)
ASPINWALL,Aspinwall and Company Limited,Logistics / Plantation / Services
ASTEC,Astec LifeSciences Limited,Chemicals (Agrochemicals)
ASTERDM,Aster DM Healthcare Limited,Healthcare (Hospitals)
ASTRAL,Astral Limited,Industrial Products (Pipes/Adhesives)
ASTRAMICRO,Astra Microwave Products Limited,Capital Goods (Defense Electronics)
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare (Pharmaceuticals)
ASTRON,Astron Paper & Board Mill Limited,Paper & Paper Products
ATALREAL,Atal Realtech Limited,Infrastructure / Construction
ATAM,Atam Valves Limited,Capital Goods (Valves & Fittings)
ATGL,Adani Total Gas Limited,Utilities (Gas Distribution)
ATHERENERG,Ather Energy Limited,Automobiles (Electric Vehicles)
ATL,Allcargo Terminals Limited,Logistics & Terminal Services
ATLANTAA,ATLANTAA LIMITED,Construction & Infrastructure
ATLANTAELE,Atlanta Electricals Limited,Capital Goods - Electrical Equipment
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Durables - Cycles
ATUL,Atul Limited,Chemicals
ATULAUTO,Atul Auto Limited,Automobiles - 3 Wheelers
AUBANK,AU Small Finance Bank Limited,Banking - Small Finance Bank
AURIGROW,Auri Grow India Limited,Agriculture / Chemicals
AURIONPRO,Aurionpro Solutions Limited,IT - Software
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals
AURUM,Aurum PropTech Limited,IT - PropTech / Real Estate Services
AUSOMENT,Ausom Enterprise Limited,Trading / Textiles
AUTOAXLES,Automotive Axles Limited,Auto Ancillaries
AUTOIND,Autoline Industries Limited,Auto Ancillaries
AVADHSUGAR,Avadh Sugar & Energy Limited,FMCG - Sugar
AVALON,Avalon Technologies Limited,Electronic Manufacturing Services (EMS)
AVANTEL,Avantel Limited,Telecommunication - Equipment
AVANTIFEED,Avanti Feeds Limited,FMCG - Aquaculture/Animal Feed
AVG,AVG Logistics Limited,Logistics
AVL,Aditya Vision Limited,Consumer Durables - Retail
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services
AVROIND,AVRO INDIA LIMITED,Consumer Durables - Plastic Products
AVTNPL,AVT Natural Products Limited,FMCG - Food
AWFIS,Awfis Space Solutions Limited,Real Estate - Co-working Space
AWHCL,Antony Waste Handling Cell Limited,Environment & Waste Management
AWL,AWL Agri Business Limited,Agriculture / Trading
AXISBANK,Axis Bank Limited,Banking - Private
AXISCADES,AXISCADES Technologies Limited,IT - Engineering Services
AXITA,Axita Cotton Limited,Textiles - Cotton
AYE,Aye Finance Limited,Financial Services - NBFC
AYMSYNTEX,AYM Syntex Limited,Textiles - Synthetic
AZAD,Azad Engineering Limited,Capital Goods - Precision Engineering
BAFNAPH,Bafna Pharmaceuticals Limited,Pharmaceuticals
BAGFILMS,B.A.G Films and Media Limited,Media & Entertainment
BAIDFIN,Baid Finserv Limited,Financial Services - NBFC
BAJAJ-AUTO,Bajaj Auto Limited,Automobiles - 2/3 Wheelers
BAJAJCON,Bajaj Consumer Care Limited,FMCG - Personal Care
BAJAJELEC,Bajaj Electricals Limited,Consumer Durables
BAJAJFINSV,Bajaj Finserv Limited,Financial Services
BAJAJHCARE,Bajaj Healthcare Limited,Pharmaceuticals
BAJAJHFL,Bajaj Housing Finance Limited,Financial Services - Housing Finance
BAJAJHIND,Bajaj Hindusthan Sugar Limited,FMCG - Sugar
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services - Holding Company
BAJAJINDEF,Indef Manufacturing Limited,Capital Goods - Engineering
BAJEL,Bajel Projects Limited,Construction - EPC (Power)
BAJFINANCE,Bajaj Finance Limited,Financial Services - NBFC
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Agriculture - Packaging/Trading
BALAJITELE,Balaji Telefilms Limited,Media & Entertainment
BALAMINES,Balaji Amines Limited,Chemicals
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Pharmaceuticals
BALKRISHNA,Balkrishna Paper Mills Limited,Paper & Paper Products
BALKRISIND,Balkrishna Industries Limited,Tyres & Allied
BALMLAWRIE,Balmer Lawrie & Company Limited,Diversified / Logistics
BALPHARMA,Bal Pharma Limited,Pharmaceuticals
BALRAMCHIN,Balrampur Chini Mills Limited,FMCG - Sugar
BALUFORGE,Balu Forge Industries Limited,Auto Ancillaries - Forgings
BANARBEADS,Banaras Beads Limited,Consumer Durables - Jewellery
BANARISUG,Bannari Amman Sugars Limited,FMCG - Sugar
BANCOINDIA,Banco Products (I) Limited,Auto Ancillaries
BANDHANBNK,Bandhan Bank Limited,Banking - Private
BANG,Bang Overseas Limited,Textiles - Apparel
BANKA,Banka BioLoo Limited,Environment & Sanitation
BANKBARODA,Bank of Baroda,Banking - Public
BANKINDIA,Bank of India,Banking - Public
BANSALWIRE,Bansal Wire Industries Limited,Metals - Steel Products
BANSWRAS,Banswara Syntex Limited,Textiles
BASF,BASF India Limited,Chemicals
BASML,Bannari Amman Spinning Mills Limited,Textiles - Spinning
BATAINDIA,Bata India Limited,Consumer Durables - Footwear
BAYERCROP,Bayer Cropscience Limited,Chemicals - Agrochemicals
BBL,Bharat Bijlee Limited,Capital Goods - Electrical Equipment
BBOX,Black Box Limited,Technology - IT Services & Solutions
BBTC,The Bombay Burmah Trading Corporation Limited,Diversified / Plantation
BBTCL,B&B Triplewall Containers Limited,Paper & Packaging
BCG,Brightcom Group Limited,Technology - Digital Marketing
BCLIND,Bcl Industries Limited,FMCG - Edible Oils / Distilleries
BCONCEPTS,Brand Concepts Limited,Consumer Discretionary - Retail (Luggage)
BDL,Bharat Dynamics Limited,Aerospace & Defense
BEARDSELL,Beardsell Limited,Industrial Products / Packaging
BECTORFOOD,Mrs. Bectors Food Specialities Limited,FMCG - Food Products
BEDMUTHA,Bedmutha Industries Limited,Metals & Mining - Iron & Steel
BEL,Bharat Electronics Limited,Aerospace & Defense
BELLACASA,Bella Casa Fashion & Retail Limited,Textiles & Apparel
BELRISE,Belrise Industries Limited,Automobile Ancillaries
BEML,BEML Limited,Capital Goods - Mining & Construction
BEPL,Bhansali Engineering Polymers Limited,Chemicals - Plastics
BERGEPAINT,Berger Paints (I) Limited,Consumer Discretionary - Paints
BESTAGRO,Best Agrolife Limited,Chemicals - Agro Chemicals
BETA,Beta Drugs Limited,Healthcare - Pharmaceuticals
BFINVEST,BF Investment Limited,Financial Services - Investment Co.
BFUTILITIE,BF Utilities Limited,Power / Infrastructure
BGRENERGY,BGR Energy Systems Limited,Capital Goods - Power Equipment
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Chemicals - Agro Chemicals
BHAGERIA,Bhageria Industries Limited,Chemicals - Dyes & Pigments
BHAGYANGR,Bhagyanagar India Limited,Metals & Mining - Copper Products
BHANDARI,Bhandari Hosiery Exports Limited,Textiles & Apparel
BHARATCOAL,Bharat Coking Coal Limited,Metals & Mining - Coal
BHARATFORG,Bharat Forge Limited,Automobile Ancillaries - Forgings
BHARATGEAR,Bharat Gears Limited,Automobile Ancillaries - Gears
BHARATRAS,Bharat Rasayan Limited,Chemicals - Agro Chemicals
BHARATSE,Bharat Seats Limited,Automobile Ancillaries
BHARATWIRE,Bharat Wire Ropes Limited,Metals & Mining - Steel Wire
BHARTIARTL,Bharti Airtel Limited,Telecommunication
BHARTIHEXA,Bharti Hexacom Limited,Telecommunication
BHEL,Bharat Heavy Electricals Limited,Capital Goods - Power Equipment
BIGBLOC,Bigbloc Construction Limited,Construction Materials
BIKAJI,Bikaji Foods International Limited,FMCG - Food Products
BIL,Bhartiya International Limited,Textiles & Apparel - Leather
BILVYAPAR,BIL VYAPAR LIMITED,Diversified / Trading
BIOCON,Biocon Limited,Healthcare - Biotechnology
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,Healthcare - Pharmaceuticals
BIRLACABLE,Birla Cable Limited,Industrial Products - Cables
BIRLACORPN,Birla Corporation Limited,Construction Materials - Cement
BIRLAMONEY,Aditya Birla Money Limited,Financial Services - Stock Broking
BIRLANU,BirlaNu Limited,Diversified (Merged with Grasim)
BLACKBUCK,BLACKBUCK LIMITED,Technology - Logistics Tech
BLAL,BEML Land Assets Limited,Real Estate
BLBLIMITED,BLB Limited,Financial Services - Stock Broking
BLISSGVS,Bliss GVS Pharma Limited,Healthcare - Pharmaceuticals
BLKASHYAP,B. L. Kashyap and Sons Limited,Construction & Infrastructure
BLS,BLS International Services Limited,Consumer Services - Outsourcing
BLSE,BLS E-Services Limited,Technology - Digital Services
BLUECHIP,Blue Chip India Limited,Financial Services
BLUECOAST,Blue Coast Hotels Limited,Consumer Discretionary - Hotels
BLUEDART,Blue Dart Express Limited,Services - Logistics
BLUEJET,Blue Jet Healthcare Limited,Healthcare - Pharmaceuticals
BLUESTARCO,Blue Star Limited,Consumer Durables - Air Conditioning
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Consumer Discretionary - Gems & Jewellery
BLUSPRING,Bluspring Enterprises Limited,Trading / Commercial Services
BMWVENTLTD,BMW Ventures Limited,Metals - Steel Distribution
BODALCHEM,Bodal Chemicals Limited,Chemicals - Dyes & Pigments
BOHRAIND,Bohra Industries Limited,Chemicals - Fertilizers
BOMDYEING,Bombay Dyeing & Mfg Company Limited,Textiles / Real Estate
BORANA,Borana Weaves Limited,Textiles
BOROLTD,Borosil Limited,Consumer Durables - Glassware
BORORENEW,BOROSIL RENEWABLES LIMITED,Solar Energy - Glass
BOROSCI,Borosil Scientific Limited,Industrial Products - Labware
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,Consumer Durables - HVAC
BOSCHLTD,Bosch Limited,Automobile Ancillaries
BPCL,Bharat Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels"
BPL,BPL Limited,Consumer Electronics
BRIGADE,Brigade Enterprises Limited,Real Estate
BRIGHOTEL,Brigade Hotel Ventures Limited,Consumer Discretionary - Hotels
BRITANNIA,Britannia Industries Limited,FMCG - Food Products
BRNL,Bharat Road Network Limited,Infrastructure - Roads
BROOKS,Brooks Laboratories Limited,Healthcare - Pharmaceuticals
BSE,BSE Limited,Financial Services - Capital Markets
BSHSL,Bombay Super Hybrid Seeds Limited,Agriculture - Seeds
BSL,BSL Limited,Textiles & Apparel
BSOFT,BIRLASOFT LIMITED,Technology - IT Services
BTML,Bodhi Tree Multimedia Limited,Media & Entertainment
BUILDPRO,Shankara Buildpro Limited,Retail (Building Products)
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Durables (Household Appliances)
BVCL,Barak Valley Cements Limited,Construction Materials (Cement)
BYKE,The Byke Hospitality Ltd,Hotels & Hospitality
CALSOFT,California Software Company Limited,IT Services & Consulting
CAMLINFINE,Camlin Fine Sciences Limited,Chemicals (Specialty Chemicals)
CAMPUS,Campus Activewear Limited,Consumer Discretionary (Footwear)
CAMS,Computer Age Management Services Limited,Financial Services (Capital Markets)
CANBK,Canara Bank,Banking (Public Sector)
CANFINHOME,Can Fin Homes Limited,Financial Services (Housing Finance)
CANHLIFE,Canara HSBC Life Insurance Company Limited,Insurance (Life)
CANTABIL,Cantabil Retail India Limited,Consumer Discretionary (Apparel)
CAPACITE,Capacit'e Infraprojects Limited,Construction & Engineering
CAPILLARY,Capillary Technologies India Limited,IT Services (SaaS)
CAPITALSFB,Capital Small Finance Bank Limited,Banking (Small Finance Bank)
CAPLIPOINT,Caplin Point Laboratories Limited,Pharmaceuticals
CAPTRUST,Capital Trust Limited,Financial Services (NBFC)
CARBORUNIV,Carborundum Universal Limited,Industrial Goods (Abrasives/Ceramics)
CARERATING,CARE Ratings Limited,Financial Services (Credit Rating)
CARRARO,Carraro India Limited,Auto Components
CARTRADE,Cartrade Tech Limited,IT Enabled Services (Online Marketplace)
CARYSIL,CARYSIL LIMITED,Consumer Durables (Kitchen Sinks/Appliances)
CASTROLIND,Castrol India Limited,Energy (Lubricants)
CCAVENUE,AvenuesAI Limited,IT Services (Fintech/AI)
CCCL,Consolidated Construction Consortium Limited,Construction & Infrastructure
CCHHL,Country Club Hospitality & Holidays Limited,Hotels & Hospitality
CCL,CCL Products (India) Limited,FMCG (Coffee/Beverages)
CDSL,Central Depository Services (India) Limited,Financial Services (Capital Markets)
CEATLTD,CEAT Limited,Auto Components (Tyres)
CEIGALL,Ceigall India Limited,Construction & Infrastructure
CEINSYS,Ceinsys Tech Limited,IT Services (GIS/Engineering)
CELEBRITY,Celebrity Fashions Limited,Textiles & Apparel
CELLO,Cello World Limited,Consumer Durables (Houseware)
CEMPRO,Cemindia Projects Limited,Construction & Engineering
CENTENKA,Century Enka Limited,Textiles (Synthetic Yarn)
CENTEXT,Century Extrusions Limited,Metals & Mining (Aluminum)
CENTRALBK,Central Bank of India,Banking (Public Sector)
CENTRUM,Centrum Capital Limited,Financial Services (Investment Banking)
CENTUM,Centum Electronics Limited,Capital Goods (Electronics Design)
CENTURYPLY,Century Plyboards (India) Limited,Consumer Durables (Wood Products)
CERA,Cera Sanitaryware Limited,Consumer Durables (Sanitaryware)
CEREBRAINT,Cerebra Integrated Technologies Limited,IT Services (Hardware/E-waste)
CESC,CESC Limited,Utilities (Power Generation/Distribution)
CEWATER,Concord Enviro Systems Limited,Capital Goods (Waste Management)
CGCL,Capri Global Capital Limited,Financial Services (NBFC)
CGPOWER,CG Power and Industrial Solutions Limited,Capital Goods (Electrical Equipment)
CHALET,Chalet Hotels Limited,Hotels & Hospitality
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Chemicals (Fertilizers)
CHEMBOND,Chembond Material Technologies Limited,Chemicals (Specialty Chemicals)
CHEMBONDCH,Chembond Chemicals Limited,Chemicals (Specialty Chemicals)
CHEMCON,Chemcon Speciality Chemicals Limited,Chemicals (Specialty Chemicals)
CHEMFAB,Chemfab Alkalis Limited,Chemicals (Inorganic)
CHEMPLASTS,Chemplast Sanmar Limited,Chemicals (Specialty Chemicals/PVC)
CHENNPETRO,Chennai Petroleum Corporation Limited,Energy (Oil & Gas Refining)
CHEVIOT,Cheviot Company Limited,Textiles (Jute Products)
CHOICEIN,Choice International Limited,Financial Services (Broking/Advisory)
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services (NBFC)
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services (Investment/Holding)
CIEINDIA,CIE Automotive India Limited,Auto Components
CIFL,Capital India Finance Limited,Financial Services (NBFC)
CIGNITITEC,Cigniti Technologies Limited,IT Services (Software Testing)
CINELINE,Cineline India Limited,Media & Entertainment (Exhibition/Cinemas)
CINEVISTA,Cinevista Limited,Media & Entertainment (Content Production)
CIPLA,Cipla Limited,Pharmaceuticals
CLEAN,Clean Science and Technology Limited,Chemicals (Specialty Chemicals)
CLEDUCATE,CL Educate Limited,Consumer Services (Education & Training)
CLSEL,Chaman Lal Setia Exports Limited,FMCG (Rice Exports)
CMSINFO,CMS Info Systems Limited,Financial Services (Cash Management)
CNL,Creative Newtech Limited,IT Services (Digital Distribution)
COALINDIA,Coal India Limited,Mining & Metals (Coal)
COASTCORP,Coastal Corporation Limited,Seafood Processing & Exports
COCHINSHIP,Cochin Shipyard Limited,Shipbuilding & Repair
COFFEEDAY,Coffee Day Enterprises Limited,Retail (Coffee/Caf茅) & Hospitality
COFORGE,Coforge Limited,IT Services & Consulting
COHANCE,Cohance Lifesciences Limited,Pharmaceuticals / CDMO
COLPAL,Colgate Palmolive (India) Limited,FMCG (Personal Care)
